epoch,train_loss,train_accuracy,test_accuracy
0,0.3478326909667623,0.9628942486085343,0.9703703703703703
1,0.09276045736494148,0.9925788497217068,0.9851851851851852
2,0.03922532323417659,0.9925788497217068,0.9851851851851852
3,0.026338728888951654,0.9962894248608535,0.9925925925925926
4,0.01925536948464256,0.9935064935064936,0.9888888888888889
5,0.015438329872499042,0.9981447124304267,0.9962962962962963
6,0.011238930265834337,0.9972170686456401,0.9925925925925926
7,0.009657657839206187,1.0,1.0
8,0.007274329405414372,1.0,1.0
9,0.006214926771256424,1.0,1.0
10,0.005276214809291266,1.0,1.0
11,0.0041414115342434474,1.0,1.0
12,0.003645926609793395,1.0,1.0
13,0.002966591361343221,1.0,1.0
14,0.0026053663711106284,1.0,1.0
15,0.002285789326172771,1.0,1.0
16,0.0020942970690408236,1.0,1.0
17,0.0019115069993750674,1.0,1.0
18,0.0017180506132734273,1.0,1.0
19,0.001511697164707841,1.0,1.0
20,0.0013636389764139615,1.0,1.0
21,0.001263834345602168,1.0,1.0
22,0.0011455410148778387,1.0,1.0
23,0.0010689961053991384,1.0,1.0
24,0.0009724747228638371,1.0,1.0
25,0.0009121440056169423,1.0,1.0
26,0.0008536302827727451,1.0,1.0
27,0.0007917567214021807,1.0,1.0
28,0.0007791404682253305,1.0,1.0
29,0.0007162909551908874,1.0,1.0
30,0.0006864848709015531,1.0,1.0
